Finish,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,E,DP,Fld%,BatAge,RA/G,ERA,G,CG,tSho,SV,IP,H,R,ER,HR,BB,SO,WHIP,SO9,HR9,E,DP,Fld%,PAge,W
3,4.44,162,6194,5531,719,1403,294,37,152,686,92,26,514,1375,0.254,0.321,0.403,0.724,123,130,0.979,26.9,4.43,4.08,162,5,17,39,1438.1,1433,717,652,134,549,1168,1.378,7.31,0.84,123,130,0.979,27.1,80
2,4.77,162,6312,5572,772,1493,296,25,159,727,75,35,568,1226,0.268,0.34,0.416,0.756,106,129,0.982,27,4.73,4.29,162,5,5,45,1446.1,1425,766,690,160,601,1248,1.401,7.77,1,106,129,0.982,26.3,87
3,4.78,161,6206,5499,770,1397,302,28,208,741,76,28,543,1371,0.254,0.326,0.433,0.759,117,122,0.98,28,4.76,4.43,161,2,8,36,1435.1,1421,767,707,161,586,1127,1.398,7.07,1.01,117,122,0.98,26.6,84
5,4.88,162,6344,5627,790,1504,340,38,201,749,105,34,521,1332,0.267,0.336,0.448,0.784,137,159,0.977,26.7,5.5,4.94,162,0,4,40,1443.2,1617,891,793,176,661,1142,1.578,7.12,1.1,137,159,0.977,26.2,71
4,4.68,162,6191,5502,758,1454,309,42,182,713,110,58,497,1249,0.264,0.331,0.435,0.766,126,166,0.979,25.5,4.77,4.37,162,6,6,41,1433.1,1465,772,696,166,622,1088,1.456,6.83,1.04,126,166,0.979,25.9,78
3,4.43,162,6214,5502,717,1499,306,32,128,678,96,38,512,918,0.272,0.339,0.409,0.748,103,177,0.983,29.7,4.52,4.16,162,14,15,42,1442.1,1459,732,666,116,563,1125,1.402,7.02,0.72,103,177,0.983,29.5,83
3,4.43,162,6160,5486,718,1447,275,32,148,677,96,43,499,968,0.264,0.329,0.406,0.736,86,153,0.986,28.8,4.32,4.1,162,6,14,53,1439,1395,700,655,166,513,1116,1.326,6.98,1.04,86,153,0.986,27.8,83
2,4.64,162,6186,5490,751,1459,292,44,157,709,150,74,515,978,0.266,0.333,0.421,0.754,78,162,0.987,27.7,4.27,4.04,162,7,11,36,1445.1,1415,692,648,128,530,1132,1.346,7.05,0.8,78,162,0.987,26.3,91
4,4.31,162,6263,5496,699,1433,280,32,146,653,177,73,595,1130,0.261,0.337,0.403,0.74,106,163,0.983,28.4,4.71,4.36,162,11,12,36,1456.1,1449,763,706,151,631,1104,1.428,6.82,0.93,106,163,0.983,26.1,79
4,4.58,162,6184,5542,742,1461,325,30,166,713,89,40,470,1145,0.264,0.326,0.423,0.749,103,174,0.983,27.3,4.59,4.32,162,5,11,32,1438,1397,744,691,151,617,1119,1.401,7,0.95,103,174,0.983,26.5,76
