Finish,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,E,DP,Fld%,BatAge,RA/G,ERA,G,CG,tSho,SV,IP,H,R,ER,HR,BB,SO,WHIP,SO9,HR9,E,DP,Fld%,PAge,W
2,4.9,162,6459,5728,793,1545,336,15,189,752,47,22,608,1061,0.27,0.343,0.433,0.776,91,172,0.986,29.6,4.58,4.17,162,10,8,35,1471.1,1466,742,682,164,544,1034,1.366,6.32,1,91,172,0.986,28.4,91
1,4.74,162,6189,5497,768,1398,317,24,176,742,48,14,556,898,0.254,0.327,0.417,0.743,107,145,0.983,28.3,3.97,3.63,162,16,14,48,1441.2,1336,643,582,140,499,1018,1.273,6.36,0.87,107,145,0.983,27.4,96
1,4.94,162,6291,5558,800,1450,279,28,205,772,46,20,609,1008,0.261,0.339,0.432,0.771,102,144,0.984,28.6,4.04,3.68,162,9,19,48,1452,1391,654,593,135,474,1021,1.284,6.33,0.84,102,144,0.984,27.4,103
2,5.46,162,6385,5573,884,1469,334,22,199,835,68,29,640,1021,0.264,0.345,0.439,0.784,125,151,0.98,27.3,3.98,3.59,162,13,9,44,1463.1,1384,645,583,153,440,1117,1.246,6.87,0.94,125,151,0.98,28,102
1,4.91,162,6084,5357,796,1373,275,22,190,757,57,20,586,1389,0.256,0.336,0.422,0.758,97,112,0.982,28.1,3.93,3.73,162,4,13,43,1403.1,1205,636,581,182,485,1588,1.204,10.18,1.17,97,112,0.982,28.3,93
3,4.4,161,6042,5529,708,1443,260,20,182,676,63,28,378,1549,0.261,0.314,0.414,0.728,117,171,0.98,27.6,5.17,4.9,161,6,7,33,1412.2,1438,832,769,238,582,1312,1.43,8.36,1.52,117,171,0.98,27.6,72
4,4.05,162,6071,5523,656,1332,259,40,182,639,98,41,425,1594,0.241,0.302,0.401,0.703,114,135,0.981,26.5,5.23,4.83,162,0,8,34,1437,1404,848,771,196,653,1259,1.431,7.89,1.23,114,135,0.981,27.6,62
4,4.36,162,6059,5513,706,1412,256,37,186,670,71,31,401,1397,0.256,0.314,0.417,0.731,114,157,0.981,26.7,5.06,4.78,162,0,3,25,1421.2,1384,820,755,242,632,1193,1.418,7.55,1.53,114,157,0.981,28.7,67
4,4.23,162,6131,5550,686,1428,277,33,168,656,77,36,455,1285,0.257,0.317,0.41,0.727,95,148,0.984,28.3,4.41,4.1,162,7,10,43,1446.2,1422,715,659,185,521,1270,1.343,7.9,1.15,95,148,0.984,28.6,78
4,3.84,162,6070,5533,622,1381,260,27,136,595,68,42,404,1231,0.25,0.306,0.38,0.686,101,159,0.983,28.2,4.33,3.98,162,7,9,37,1452.2,1443,701,643,162,474,1359,1.32,8.42,1,101,159,0.983,27.8,76
4,4.07,162,6077,5543,660,1400,279,32,155,625,85,36,417,1362,0.253,0.31,0.398,0.708,107,170,0.982,27.7,4.68,4.29,162,3,6,36,1441,1468,758,687,140,557,1152,1.405,7.2,0.87,107,170,0.982,27.4,73
